source_id,latitude,longitude,fish,date,waterbody,source_url,original_source_url,included,inclusion_reason
934,60.298663,32.408142,Судак,2017-07-11,Ладожское озеро,https://ru.fishermap.org/location/934/,https://vk.com/wall-30527635_9236,true,Ладожское озеро
939,60.193632,32.171358,Щука; Окунь,2016-01-09,Ладожское озеро,https://ru.fishermap.org/location/939/,https://vk.com/wall-30527635_3351,true,Ладожское озеро
2219,60.440846,32.823029,Щука; Окунь,2019-09-27,,https://ru.fishermap.org/location/2219/,https://vk.com/wall-13425667_27877,false,"соседняя река/канал, верхний Волхов или неоднозначная внутренняя точка"
2229,60.311449,32.587162,Плотва,2019-03-02,Ладожское озеро,https://ru.fishermap.org/location/2229/,https://vk.com/wall-13425667_25029,true,Ладожское озеро
2236,59.972784,31.53913,Окунь,2018-12-18,Ладожское озеро; бухта Петрокрепость,https://ru.fishermap.org/location/2236/,https://vk.com/wall-13425667_23671,true,Ладожское озеро
2248,60.227002,32.135144,Окунь,2018-03-28,Ладожское озеро,https://ru.fishermap.org/location/2248/,https://vk.com/wall-13425667_21014,true,Ладожское озеро
2252,60.46125,32.795655,Щука,2017-12-24,Загубская губа,https://ru.fishermap.org/location/2252/,https://vk.com/wall-13425667_19287,true,Загубская губа без речной привязки
2265,60.465314,32.805344,Щука,2017-12-22,Загубская губа,https://ru.fishermap.org/location/2265/,https://vk.com/wall-13425667_19264,true,Загубская губа без речной привязки
2268,60.241982,31.949552,Окунь,2017-02-13,Ладожское озеро,https://ru.fishermap.org/location/2268/,https://vk.com/wall-13425667_16219,true,Ладожское озеро
2269,60.246687,32.003599,Окунь,2017-01-24,Ладожское озеро,https://ru.fishermap.org/location/2269/,https://vk.com/wall-13425667_15749,true,Ладожское озеро
2277,60.512406,32.714954,Окунь,2016-02-28,Ладожское озеро,https://ru.fishermap.org/location/2277/,https://vk.com/wall-13425667_11268,true,Ладожское озеро
2278,59.80084,32.946513,Налим; Рыбец (Сырть),2016-04-30,,https://ru.fishermap.org/location/2278/,https://vk.com/wall-13425667_12472,false,"соседняя река/канал, верхний Волхов или неоднозначная внутренняя точка"
2379,60.33340566,32.59986877,Плотва,2018-01-28,Ладожское озеро,https://ru.fishermap.org/location/2379/,https://vk.com/wall-13425667_19922,true,Ладожское озеро
2388,60.171751,32.203801,Плотва,2017-01-14,Ладожское озеро,https://ru.fishermap.org/location/2388/,https://vk.com/wall-13425667_15581,true,Ладожское озеро
2389,60.159002,32.22014,Окунь,2017-01-12,Ладожское озеро,https://ru.fishermap.org/location/2389/,https://vk.com/wall-13425667_15530,true,Ладожское озеро
2390,60.305559,32.590264,Окунь; Плотва,2017-01-10,Ладожское озеро,https://ru.fishermap.org/location/2390/,https://vk.com/wall-13425667_15481,true,Ладожское озеро
2401,60.310807,32.591105,Густера; Плотва,2017-03-02,Ладожское озеро,https://ru.fishermap.org/location/2401/,https://vk.com/wall-13425667_16537,true,Ладожское озеро
2402,60.205171,32.179475,Плотва,2017-02-06,Ладожское озеро,https://ru.fishermap.org/location/2402/,https://vk.com/wall-13425667_16097,true,Ладожское озеро
2485,60.274365,32.62844,Плотва,2019-04-30,Ладожское озеро,https://ru.fishermap.org/location/2485/,https://vk.com/wall-13425667_26064,true,Ладожское озеро
2851,60.081226,32.323061,Окунь,2018-06-13,Волхов,https://ru.fishermap.org/location/2851/,https://vk.com/wall-52390696_2848,true,нижний Волхов
2879,59.964667,31.525056,Окунь,2018-02-18,Ладожское озеро; бухта Петрокрепость,https://ru.fishermap.org/location/2879/,https://vk.com/wall-52390696_187,true,Ладожское озеро
2909,60.073141,32.332707,Жерех,2017-07-09,Волхов,https://ru.fishermap.org/location/2909/,https://vk.com/wall-62669564_10889,true,нижний Волхов
3551,60.131645,31.609533,Густера; Красноперка; Плотва,2019-05-20,Ладожское озеро,https://ru.fishermap.org/location/3551/,https://vk.com/wall-1707795_15138,true,Ладожское озеро
5581,60.435379,32.767295,Карась,2019-06-30,,https://ru.fishermap.org/location/5581/,https://vk.com/wall-78808262_93634,false,"соседняя река/канал, верхний Волхов или неоднозначная внутренняя точка"
5608,60.239054,32.136795,Густера; Окунь; Плотва,2019-03-17,Ладожское озеро,https://ru.fishermap.org/location/5608/,https://vk.com/wall-78808262_92870,true,Ладожское озеро
5622,60.050132,31.407762,Плотва,2018-02-16,Ладожское озеро; бухта Петрокрепость,https://ru.fishermap.org/location/5622/,https://vk.com/wall-78808262_88179,true,Ладожское озеро
5625,60.150018,32.297909,Плотва,2018-03-17,Ладожское озеро,https://ru.fishermap.org/location/5625/,https://vk.com/wall-78808262_88911,true,Ладожское озеро
5636,60.140461,31.615558,Плотва,2017-05-04,,https://ru.fishermap.org/location/5636/,https://vk.com/wall-78808262_82407,true,целевая прибрежная зона; водоём в метаданных не указан
6144,60.271413,31.949505,Судак,2014-06-02,Ладожское озеро,https://ru.fishermap.org/location/6144/,https://vk.com/wall-1707795_1937,true,Ладожское озеро
6146,59.98731073,31.43875122,Окунь,2014-02-05,Ладожское озеро; бухта Петрокрепость,https://ru.fishermap.org/location/6146/,https://vk.com/wall-1707795_1758,true,Ладожское озеро
6148,59.910907,31.480048,Окунь,2014-01-12,Ладожское озеро; бухта Петрокрепость,https://ru.fishermap.org/location/6148/,https://vk.com/wall-1707795_1674,true,Ладожское озеро
6150,60.088915,32.304618,Судак,2014-07-02,Волхов,https://ru.fishermap.org/location/6150/,https://vk.com/wall-1707795_2009,true,нижний Волхов
6158,60.188431,32.222266,Щука,2019-09-07,Ладожское озеро,https://ru.fishermap.org/location/6158/,https://vk.com/wall-1707795_15943,true,Ладожское озеро
6160,60.302495,32.604719,Судак,2019-06-23,Ладожское озеро,https://ru.fishermap.org/location/6160/,https://vk.com/wall-1707795_15424,true,Ладожское озеро
6162,60.120446,31.586564,Щука,2019-05-23,Ладожское озеро,https://ru.fishermap.org/location/6162/,https://vk.com/wall-1707795_15173,true,Ладожское озеро
6164,60.483548,32.841609,Окунь,2019-03-29,Волго-Балтийский канал; Свирь,https://ru.fishermap.org/location/6164/,https://vk.com/wall-1707795_14693,false,"соседняя река/канал, верхний Волхов или неоднозначная внутренняя точка"
6165,60.019048,31.441577,Рипус (Ряпушка),2019-02-24,Ладожское озеро; бухта Петрокрепость,https://ru.fishermap.org/location/6165/,https://vk.com/wall-1707795_14176,true,Ладожское озеро
6168,60.110724,31.528745,Щука; Окунь,2019-02-26,Ладожское озеро,https://ru.fishermap.org/location/6168/,https://vk.com/wall-1707795_14194,true,Ладожское озеро
6169,60.486467,32.814823,Щука,2019-02-02,Волго-Балтийский канал; Свирь,https://ru.fishermap.org/location/6169/,https://vk.com/wall-1707795_13813,false,"соседняя река/канал, верхний Волхов или неоднозначная внутренняя точка"
6170,59.981948,31.513851,Окунь,2018-12-24,Ладожское озеро; бухта Петрокрепость,https://ru.fishermap.org/location/6170/,https://vk.com/wall-1707795_13087,true,Ладожское озеро
6171,59.974345,31.524014,Окунь,2018-12-20,Ладожское озеро; бухта Петрокрепость,https://ru.fishermap.org/location/6171/,https://vk.com/wall-1707795_13013,true,Ладожское озеро
6172,59.936183,31.442239,Окунь,2018-12-16,Ладожское озеро; бухта Петрокрепость,https://ru.fishermap.org/location/6172/,https://vk.com/wall-1707795_12920,true,Ладожское озеро
6173,60.131684,32.231764,Щука,2018-12-13,Ладожское озеро,https://ru.fishermap.org/location/6173/,https://vk.com/wall-1707795_12843,true,Ладожское озеро
6174,60.120491,32.319319,Щука,2018-11-17,Волхов,https://ru.fishermap.org/location/6174/,https://vk.com/wall-1707795_12380,true,нижний Волхов
6175,60.254085,31.69197,Щука,2018-08-16,Ладожское озеро,https://ru.fishermap.org/location/6175/,https://vk.com/wall-1707795_11973,true,Ладожское озеро
6176,60.254115,31.692067,Щука,2018-08-16,Ладожское озеро,https://ru.fishermap.org/location/6176/,https://vk.com/wall-1707795_11955,true,Ладожское озеро
6179,60.025646,31.533428,Окунь,2018-05-15,Ладожское озеро; бухта Петрокрепость,https://ru.fishermap.org/location/6179/,https://vk.com/wall-1707795_10922,true,Ладожское озеро
6180,60.021826,31.486249,Окунь,2018-05-12,Ладожское озеро; бухта Петрокрепость,https://ru.fishermap.org/location/6180/,https://vk.com/wall-1707795_10890,true,Ладожское озеро
6183,60.342155,32.616426,Окунь,2018-02-16,Ладожское озеро,https://ru.fishermap.org/location/6183/,https://vk.com/wall-1707795_9630,true,Ладожское озеро
6184,59.997778,31.43971,Окунь,2018-01-29,Ладожское озеро; бухта Петрокрепость,https://ru.fishermap.org/location/6184/,https://vk.com/wall-1707795_9266,true,Ладожское озеро
6185,59.986953,31.531942,Окунь,2018-01-27,Ладожское озеро; бухта Петрокрепость,https://ru.fishermap.org/location/6185/,https://vk.com/wall-1707795_9175,true,Ладожское озеро
6187,60.480681,32.823847,Щука; Окунь,2018-01-27,Загубская губа; Волго-Балтийский канал; Свирь,https://ru.fishermap.org/location/6187/,https://vk.com/wall-1707795_9162,false,"соседняя река/канал, верхний Волхов или неоднозначная внутренняя точка"
6189,60.43314685,32.87315905,Щука,2017-07-19,,https://ru.fishermap.org/location/6189/,https://vk.com/wall-1707795_7794,false,"соседняя река/канал, верхний Волхов или неоднозначная внутренняя точка"
6191,60.175403,32.212548,Окунь; Плотва,2017-03-19,Ладожское озеро,https://ru.fishermap.org/location/6191/,https://vk.com/wall-1707795_6305,true,Ладожское озеро
6192,60.406806,32.090174,Окунь; Судак,2014-07-15,Ладожское озеро,https://ru.fishermap.org/location/6192/,https://vk.com/wall-1707795_2025,true,Ладожское озеро
6330,60.114413,32.24307,Карась,2019-08-12,,https://ru.fishermap.org/location/6330/,https://vk.com/wall-178041076_8244,true,целевая прибрежная зона; водоём в метаданных не указан
7027,60.118082,32.324377,Окунь; Судак,2018-09-08,Волхов,https://ru.fishermap.org/location/7027/,https://vk.com/wall-61270517_12729,true,нижний Волхов
7114,60.099401,32.310595,Щука,2018-08-18,Волхов,https://ru.fishermap.org/location/7114/,https://vk.com/wall-55049510_6447,true,нижний Волхов
9093,59.975496,31.524648,Окунь,2019-02-20,Ладожское озеро; бухта Петрокрепость,https://ru.fishermap.org/location/9093/,https://vk.com/wall-164158114_27317,true,Ладожское озеро
9097,60.192721,31.636649,Плотва,2019-03-05,Ладожское озеро,https://ru.fishermap.org/location/9097/,https://vk.com/wall-164158114_28896,true,Ладожское озеро
9101,60.135523,31.571449,Щука,2019-03-19,Ладожское озеро,https://ru.fishermap.org/location/9101/,https://vk.com/wall-164158114_30830,true,Ладожское озеро
9111,60.44651,32.90097,Карась; Плотва,2019-05-01,,https://ru.fishermap.org/location/9111/,https://vk.com/wall-164158114_39940,false,"соседняя река/канал, верхний Волхов или неоднозначная внутренняя точка"
9118,60.132292,31.589045,Плотва,2019-04-22,Ладожское озеро,https://ru.fishermap.org/location/9118/,https://vk.com/wall-164158114_37960,true,Ладожское озеро
9137,59.93920359,32.13354528,Карась,2019-05-23,,https://ru.fishermap.org/location/9137/,https://vk.com/wall-164158114_47136,false,"соседняя река/канал, верхний Волхов или неоднозначная внутренняя точка"
9145,60.08044339,32.32444346,Густера; Елец; Лещ,2019-05-26,Волхов,https://ru.fishermap.org/location/9145/,https://vk.com/wall-164158114_46757,true,нижний Волхов
9173,60.288713,32.545015,Судак,2019-06-22,Ладожское озеро,https://ru.fishermap.org/location/9173/,https://vk.com/wall-164158114_54707,true,Ладожское озеро
9189,60.160774,32.241598,Щука,2019-07-07,Ладожское озеро,https://ru.fishermap.org/location/9189/,https://vk.com/wall-164158114_59435,true,Ладожское озеро
9206,60.02312866,31.54912412,Щука,2019-07-16,бухта Петрокрепость,https://ru.fishermap.org/location/9206/,https://vk.com/wall-164158114_62057,true,бухта Петрокрепость
9212,60.095423,32.315172,Язь,2019-07-20,Волхов,https://ru.fishermap.org/location/9212/,https://vk.com/wall-164158114_63136,true,нижний Волхов
9231,60.129187,31.607879,Щука; Окунь,2019-07-27,Ладожское озеро,https://ru.fishermap.org/location/9231/,https://vk.com/wall-164158114_65210,true,Ладожское озеро
9247,59.959735,32.33974,Лещ,2019-08-12,Волхов,https://ru.fishermap.org/location/9247/,https://vk.com/wall-164158114_69555,false,"соседняя река/канал, верхний Волхов или неоднозначная внутренняя точка"
9268,60.146076,31.619132,Судак,2019-08-27,,https://ru.fishermap.org/location/9268/,https://vk.com/wall-164158114_73745,true,целевая прибрежная зона; водоём в метаданных не указан
9275,60.211948,32.208028,Щука,2019-09-08,Ладожское озеро,https://ru.fishermap.org/location/9275/,https://vk.com/wall-164158114_77249,true,Ладожское озеро
9280,60.260922,32.641088,Щука; Окунь; Линь,2019-09-14,,https://ru.fishermap.org/location/9280/,https://vk.com/wall-164158114_79146,true,целевая прибрежная зона; водоём в метаданных не указан
9301,60.095294,32.315008,Лещ,2019-10-14,Волхов,https://ru.fishermap.org/location/9301/,https://vk.com/wall-164158114_87337,true,нижний Волхов
9304,60.483933,32.823661,Окунь,2019-11-02,Загубская губа; Волго-Балтийский канал; Свирь,https://ru.fishermap.org/location/9304/,https://vk.com/wall-164158114_92182,false,"соседняя река/канал, верхний Волхов или неоднозначная внутренняя точка"
10629,60.13500888,31.60938263,Окунь,2019-10-01,Ладожское озеро,https://ru.fishermap.org/location/10629/,https://vk.com/wall-165396959_263298,true,Ладожское озеро
10705,60.113432,32.287226,Окунь,2019-09-29,,https://ru.fishermap.org/location/10705/,https://vk.com/wall-114375980_129571,true,целевая прибрежная зона; водоём в метаданных не указан
11075,60.121404,31.563588,Щука,2019-07-05,Ладожское озеро,https://ru.fishermap.org/location/11075/,https://vk.com/wall-150246881_299609,true,Ладожское озеро
11471,59.921626,32.340164,Рыбец (Сырть),2019-07-22,Волхов,https://ru.fishermap.org/location/11471/,https://vk.com/wall-294312_1187462,false,"соседняя река/канал, верхний Волхов или неоднозначная внутренняя точка"
11480,60.104283,32.272784,Карась,2019-08-12,,https://ru.fishermap.org/location/11480/,https://vk.com/wall-294312_1191671,true,целевая прибрежная зона; водоём в метаданных не указан
11621,60.10201304,32.3260206,Судак,2019-08-17,Волхов,https://ru.fishermap.org/location/11621/,https://vk.com/wall-161376023_215999,true,нижний Волхов
11684,60.110836,32.325533,Щука,2019-10-23,Волхов,https://ru.fishermap.org/location/11684/,https://vk.com/wall-56433000_2005158,true,нижний Волхов
13142,60.191962,32.223892,Щука,2019-09-09,Ладожское озеро,https://ru.fishermap.org/location/13142/,https://vk.com/wall-52321266_491861,true,Ладожское озеро
13175,60.12697277,31.60388947,Окунь,2019-11-26,Ладожское озеро,https://ru.fishermap.org/location/13175/,https://vk.com/wall-52321266_507697,true,Ладожское озеро
13400,60.453156,32.811084,Плотва,2019-05-15,Загубская губа,https://ru.fishermap.org/location/13400/,https://vk.com/wall-10618634_376552,true,Загубская губа без речной привязки
