marker_id,latitude,longitude,fish,source,source_url,source_id,date,sector,confidence_class,reports_count,published_rows,comment,depth,method,catch,nearest_landmark,landmark_distance_km,distance_from_novaya_ladoga_km,context_reports_count
P001,60.298663,32.408142,Судак,FisherMap,https://ru.fishermap.org/location/934/,934,2017-07-11,Вороново,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Вороново,10.738,22.577,
P002,60.193632,32.171358,Окунь; Щука,FisherMap,https://ru.fishermap.org/location/939/,939,2016-01-09,Креницы / Волховская губа,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Креницы / Волховская губа,6.166,12.084,
P003,60.311449,32.587162,Плотва,FisherMap,https://ru.fishermap.org/location/2229/,2229,2019-03-02,Вороново,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Вороново,2.944,28.213,
P004,59.972784,31.53913,Окунь,FisherMap,https://ru.fishermap.org/location/2236/,2236,2018-12-18,Кобона / южный берег,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Кобона / южный берег,6.391,44.375,
P005,60.227002,32.135144,Окунь,FisherMap,https://ru.fishermap.org/location/2248/,2248,2018-03-28,о. Птинов,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро. Предыдущий массив: Окунь (FisherMap).,,,,о. Птинов,4.288,16.283,
P006,60.46125,32.795655,Щука,FisherMap,https://ru.fishermap.org/location/2252/,2252,2017-12-24,Свирица / Загубская губа,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Загубская губа без речной привязки.,,,,Свирица / Загубская губа,1.829,48.428,
P007,60.465314,32.805344,Щука,FisherMap,https://ru.fishermap.org/location/2265/,2265,2017-12-22,Свирица / Загубская губа,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Загубская губа без речной привязки.,,,,Свирица / Загубская губа,1.883,49.103,
P008,60.241982,31.949552,Окунь,FisherMap,https://ru.fishermap.org/location/2268/,2268,2017-02-13,Дубно,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Дубно,2.038,24.48,
P009,60.246687,32.003599,Окунь,FisherMap,https://ru.fishermap.org/location/2269/,2269,2017-01-24,Дубно,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Дубно,1.747,22.597,
P010,60.512406,32.714954,Окунь,FisherMap,https://ru.fishermap.org/location/2277/,2277,2016-02-28,Свирица / Загубская губа,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Свирица / Загубская губа,9.015,51.018,
P011,60.333406,32.599869,Плотва,FisherMap,https://ru.fishermap.org/location/2379/,2379,2018-01-28,Вороново,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Вороново,5.281,30.623,
P012,60.171751,32.203801,Плотва,FisherMap,https://ru.fishermap.org/location/2388/,2388,2017-01-14,Креницы / Волховская губа,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Креницы / Волховская губа,3.372,9.065,
P013,60.159002,32.22014,Окунь,FisherMap,https://ru.fishermap.org/location/2389/,2389,2017-01-12,Креницы / Волховская губа,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Креницы / Волховская губа,2.208,7.384,
P014,60.305559,32.590264,Окунь; Плотва,FisherMap,https://ru.fishermap.org/location/2390/,2390,2017-01-10,Вороново,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Вороново,2.267,27.78,
P015,60.310807,32.591105,Густера; Плотва,FisherMap,https://ru.fishermap.org/location/2401/,2401,2017-03-02,Вороново,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Вороново,2.824,28.28,
P016,60.205171,32.179475,Плотва,FisherMap,https://ru.fishermap.org/location/2402/,2402,2017-02-06,Креницы / Волховская губа,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Креницы / Волховская губа,6.712,12.939,
P017,60.274365,32.62844,Плотва,FisherMap,https://ru.fishermap.org/location/2485/,2485,2019-04-30,Вороново,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Вороново,1.972,26.494,
P018,60.081226,32.323061,Окунь,FisherMap,https://ru.fishermap.org/location/2851/,2851,2018-06-13,Нижний Волхов,B,1,1,Публичная геометка рыболовного отчёта FisherMap. нижний Волхов.,,,,Нижний Волхов,0.885,2.975,
P019,59.964667,31.525056,Окунь,FisherMap,https://ru.fishermap.org/location/2879/,2879,2018-02-18,Кобона / южный берег,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Кобона / южный берег,7.396,45.418,
P020,60.073141,32.332707,Жерех,FisherMap,https://ru.fishermap.org/location/2909/,2909,2017-07-09,Нижний Волхов,B,1,1,Публичная геометка рыболовного отчёта FisherMap. нижний Волхов.,,,,Нижний Волхов,0.207,4.021,
P021,60.131645,31.609533,Густера; Красноперка; Плотва,FisherMap,https://ru.fishermap.org/location/3551/,3551,2019-05-20,Шлиссельбург / бухта Петрокрепость,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Шлиссельбург / бухта Петрокрепость,1.295,38.045,
P022,60.239054,32.136795,Густера; Окунь; Плотва,FisherMap,https://ru.fishermap.org/location/5608/,5608,2019-03-17,о. Птинов,B,1,1,"Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро. Предыдущий массив: Густера, окунь, плотва (FisherMap).",,,,о. Птинов,3.579,17.38,
P023,60.050132,31.407762,Плотва,FisherMap,https://ru.fishermap.org/location/5622/,5622,2018-02-16,Кобона / южный берег,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Кобона / южный берег,8.21,49.516,
P024,60.150018,32.297909,Плотва,FisherMap,https://ru.fishermap.org/location/5625/,5625,2018-03-17,Креницы / Волховская губа,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Креницы / Волховская губа,2.373,5.154,
P025,60.140461,31.615558,Плотва,FisherMap,https://ru.fishermap.org/location/5636/,5636,2017-05-04,Шлиссельбург / бухта Петрокрепость,B,1,1,Публичная геометка рыболовного отчёта FisherMap. целевая прибрежная зона; водоём в метаданных не указан.,,,,Шлиссельбург / бухта Петрокрепость,2.296,37.801,
P026,60.271413,31.949505,Судак,FisherMap,https://ru.fishermap.org/location/6144/,6144,2014-06-02,Дубно,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Дубно,4.498,26.653,
