record_id,latitude,longitude,fish,source,source_url,source_id,original_source_url,date,sector,confidence_class,reports_count,analysis_weight,duplicate_of,comment,depth,method,catch,nearest_landmark,landmark_distance_km,distance_from_novaya_ladoga_km,waterbody,context_reports_count
fishermap-934,60.298663,32.408142,Судак,FisherMap,https://ru.fishermap.org/location/934/,934,https://vk.com/wall-30527635_9236,2017-07-11,Вороново,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Вороново,10.738,22.577,Ладожское озеро,
fishermap-939,60.193632,32.171358,Щука; Окунь,FisherMap,https://ru.fishermap.org/location/939/,939,https://vk.com/wall-30527635_3351,2016-01-09,Креницы / Волховская губа,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Креницы / Волховская губа,6.166,12.084,Ладожское озеро,
fishermap-2229,60.311449,32.587162,Плотва,FisherMap,https://ru.fishermap.org/location/2229/,2229,https://vk.com/wall-13425667_25029,2019-03-02,Вороново,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Вороново,2.944,28.213,Ладожское озеро,
fishermap-2236,59.972784,31.53913,Окунь,FisherMap,https://ru.fishermap.org/location/2236/,2236,https://vk.com/wall-13425667_23671,2018-12-18,Кобона / южный берег,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Кобона / южный берег,6.391,44.375,Ладожское озеро; бухта Петрокрепость,
fishermap-2248,60.227002,32.135144,Окунь,FisherMap,https://ru.fishermap.org/location/2248/,2248,https://vk.com/wall-13425667_21014,2018-03-28,о. Птинов,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро. Предыдущий массив: Окунь (FisherMap).,,,,о. Птинов,4.288,16.283,Ладожское озеро,
fishermap-2252,60.46125,32.795655,Щука,FisherMap,https://ru.fishermap.org/location/2252/,2252,https://vk.com/wall-13425667_19287,2017-12-24,Свирица / Загубская губа,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Загубская губа без речной привязки.,,,,Свирица / Загубская губа,1.829,48.428,Загубская губа,
fishermap-2265,60.465314,32.805344,Щука,FisherMap,https://ru.fishermap.org/location/2265/,2265,https://vk.com/wall-13425667_19264,2017-12-22,Свирица / Загубская губа,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Загубская губа без речной привязки.,,,,Свирица / Загубская губа,1.883,49.103,Загубская губа,
fishermap-2268,60.241982,31.949552,Окунь,FisherMap,https://ru.fishermap.org/location/2268/,2268,https://vk.com/wall-13425667_16219,2017-02-13,Дубно,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Дубно,2.038,24.48,Ладожское озеро,
fishermap-2269,60.246687,32.003599,Окунь,FisherMap,https://ru.fishermap.org/location/2269/,2269,https://vk.com/wall-13425667_15749,2017-01-24,Дубно,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Дубно,1.747,22.597,Ладожское озеро,
fishermap-2277,60.512406,32.714954,Окунь,FisherMap,https://ru.fishermap.org/location/2277/,2277,https://vk.com/wall-13425667_11268,2016-02-28,Свирица / Загубская губа,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Свирица / Загубская губа,9.015,51.018,Ладожское озеро,
fishermap-2379,60.33340566,32.59986877,Плотва,FisherMap,https://ru.fishermap.org/location/2379/,2379,https://vk.com/wall-13425667_19922,2018-01-28,Вороново,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Вороново,5.281,30.623,Ладожское озеро,
fishermap-2388,60.171751,32.203801,Плотва,FisherMap,https://ru.fishermap.org/location/2388/,2388,https://vk.com/wall-13425667_15581,2017-01-14,Креницы / Волховская губа,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Креницы / Волховская губа,3.372,9.065,Ладожское озеро,
fishermap-2389,60.159002,32.22014,Окунь,FisherMap,https://ru.fishermap.org/location/2389/,2389,https://vk.com/wall-13425667_15530,2017-01-12,Креницы / Волховская губа,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Креницы / Волховская губа,2.208,7.384,Ладожское озеро,
fishermap-2390,60.305559,32.590264,Окунь; Плотва,FisherMap,https://ru.fishermap.org/location/2390/,2390,https://vk.com/wall-13425667_15481,2017-01-10,Вороново,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Вороново,2.267,27.78,Ладожское озеро,
fishermap-2401,60.310807,32.591105,Густера; Плотва,FisherMap,https://ru.fishermap.org/location/2401/,2401,https://vk.com/wall-13425667_16537,2017-03-02,Вороново,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Вороново,2.824,28.28,Ладожское озеро,
fishermap-2402,60.205171,32.179475,Плотва,FisherMap,https://ru.fishermap.org/location/2402/,2402,https://vk.com/wall-13425667_16097,2017-02-06,Креницы / Волховская губа,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Креницы / Волховская губа,6.712,12.939,Ладожское озеро,
fishermap-2485,60.274365,32.62844,Плотва,FisherMap,https://ru.fishermap.org/location/2485/,2485,https://vk.com/wall-13425667_26064,2019-04-30,Вороново,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Вороново,1.972,26.494,Ладожское озеро,
fishermap-2851,60.081226,32.323061,Окунь,FisherMap,https://ru.fishermap.org/location/2851/,2851,https://vk.com/wall-52390696_2848,2018-06-13,Нижний Волхов,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. нижний Волхов.,,,,Нижний Волхов,0.885,2.975,Волхов,
fishermap-2879,59.964667,31.525056,Окунь,FisherMap,https://ru.fishermap.org/location/2879/,2879,https://vk.com/wall-52390696_187,2018-02-18,Кобона / южный берег,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Кобона / южный берег,7.396,45.418,Ладожское озеро; бухта Петрокрепость,
fishermap-2909,60.073141,32.332707,Жерех,FisherMap,https://ru.fishermap.org/location/2909/,2909,https://vk.com/wall-62669564_10889,2017-07-09,Нижний Волхов,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. нижний Волхов.,,,,Нижний Волхов,0.207,4.021,Волхов,
fishermap-3551,60.131645,31.609533,Густера; Красноперка; Плотва,FisherMap,https://ru.fishermap.org/location/3551/,3551,https://vk.com/wall-1707795_15138,2019-05-20,Шлиссельбург / бухта Петрокрепость,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Шлиссельбург / бухта Петрокрепость,1.295,38.045,Ладожское озеро,
fishermap-5608,60.239054,32.136795,Густера; Окунь; Плотва,FisherMap,https://ru.fishermap.org/location/5608/,5608,https://vk.com/wall-78808262_92870,2019-03-17,о. Птинов,B,1,1,,"Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро. Предыдущий массив: Густера, окунь, плотва (FisherMap).",,,,о. Птинов,3.579,17.38,Ладожское озеро,
fishermap-5622,60.050132,31.407762,Плотва,FisherMap,https://ru.fishermap.org/location/5622/,5622,https://vk.com/wall-78808262_88179,2018-02-16,Кобона / южный берег,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Кобона / южный берег,8.21,49.516,Ладожское озеро; бухта Петрокрепость,
fishermap-5625,60.150018,32.297909,Плотва,FisherMap,https://ru.fishermap.org/location/5625/,5625,https://vk.com/wall-78808262_88911,2018-03-17,Креницы / Волховская губа,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Креницы / Волховская губа,2.373,5.154,Ладожское озеро,
