lat,lon,kind,cls,prec,fish,date,season,sector,dist,zone,title,comment,depth,method,catch,src,url,orig,sid
60.298663,32.408142,fishing,B,100,Судак,2017-07-11,open_water,Вороново,22.6,core,"Ладога — 10,7 км на З от «Лахта»",Фото улова (судак) из поста ВК; снасть и глубина не указаны.,,,,FisherMap,https://ru.fishermap.org/location/934/,https://vk.com/wall-30527635_9236,934
60.193632,32.171358,fishing,B,100,Щука; Окунь,2016-01-09,ice,Креницы / Волховская губа,12.1,core,"Ладога — 4,5 км на ЮВ от «мыс Княжой»","Фото улова (щука, окунь) из поста ВК; снасть и глубина не указаны.",,,,FisherMap,https://ru.fishermap.org/location/939/,https://vk.com/wall-30527635_3351,939
60.505675,32.808612,fishing,B,100,Лещ; Окунь,2019-03-11,ice,Свирская губа / устье Свири,52.9,core,"Свирь — 6,5 км на С от «Куйвасарь»","Фото улова (лещ, окунь) из поста ВК; снасть и глубина не указаны.",,,,FisherMap,https://ru.fishermap.org/location/2225/,https://vk.com/wall-13425667_25292,2225
60.311449,32.587162,fishing,B,100,Плотва,2019-03-02,ice,Вороново,28.2,core,"Ладога — 0,8 км на ЮЗ от «Лахта»",Фото улова (плотва) из поста ВК; снасть и глубина не указаны.,,,,FisherMap,https://ru.fishermap.org/location/2229/,https://vk.com/wall-13425667_25029,2229
60.506904,32.807998,fishing,B,100,Лещ; Окунь,2019-02-24,ice,Свирская губа / устье Свири,53.0,core,"Свирь — 6,6 км на С от «Куйвасарь»","Фото улова (лещ, окунь) из поста ВК; снасть и глубина не указаны.",,,,FisherMap,https://ru.fishermap.org/location/2230/,https://vk.com/wall-13425667_24846,2230
59.972784,31.53913,fishing,B,100,Окунь,2018-12-18,,Кобона / южный берег,44.4,core,"Бухта Петрокрепость — 3,5 км на СЗ от «Лаврово»",Фото улова (окунь) из поста ВК; снасть и глубина не указаны.,,,,FisherMap,https://ru.fishermap.org/location/2236/,https://vk.com/wall-13425667_23671,2236
60.227002,32.135144,fishing,B,100,Окунь,2018-03-28,ice,о. Птинов,16.3,core,"Ладога — 0,7 км на В от «мыс Княжой»",Фото улова (окунь) из поста ВК; снасть и глубина не указаны.,,,,FisherMap,https://ru.fishermap.org/location/2248/,https://vk.com/wall-13425667_21014,2248
60.46125,32.795655,fishing,B,100,Щука,2017-12-24,,Свирица / Загубская губа,48.4,core,"Загубская губа — 1,7 км на СЗ от «Куйвасарь»",Фото улова (щука) из поста ВК; снасть и глубина не указаны.,,,,FisherMap,https://ru.fishermap.org/location/2252/,https://vk.com/wall-13425667_19287,2252
60.552333,32.875454,fishing,B,100,Окунь,2017-04-02,,Свирская губа / устье Свири,59.3,ext,"Ладога — 7,8 км на СЗ от «остров Конево»",Фото улова (окунь) из поста ВК; снасть и глубина не указаны.,,,,FisherMap,https://ru.fishermap.org/location/2261/,https://vk.com/wall-13425667_16998,2261
60.465314,32.805344,fishing,B,100,Щука,2017-12-22,,Свирица / Загубская губа,49.1,core,"Загубская губа — 2,0 км на С от «Куйвасарь»",Фото улова (щука) из поста ВК; снасть и глубина не указаны.,,,,FisherMap,https://ru.fishermap.org/location/2265/,https://vk.com/wall-13425667_19264,2265
60.241982,31.949552,fishing,B,100,Окунь,2017-02-13,ice,Дубно,24.5,core,"Ладога — 1,4 км на С от «мыс Орёл»",Фото улова (окунь) из поста ВК; снасть и глубина не указаны.,,,,FisherMap,https://ru.fishermap.org/location/2268/,https://vk.com/wall-13425667_16219,2268
60.246687,32.003599,fishing,B,100,Окунь,2017-01-24,ice,Дубно,22.6,core,"Ладога — 3,6 км на СВ от «Дубно»",Фото улова (окунь) из поста ВК; снасть и глубина не указаны.,,,,FisherMap,https://ru.fishermap.org/location/2269/,https://vk.com/wall-13425667_15749,2269
